Split,i,ID,Message,Truth,Maybe Better
2,46,424,My exchange rate isn't correct.,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal
2,47,3576,I do not recongize a payment in my account.,card_payment_not_recognised,reverted_card_payment?
2,48,5414,I want a refund,request_refund,Refund_not_showing_up
2,49,8023,May I transfer a cheque into my account?,top_up_by_cash_or_cheque,transfer_into_account
2,50,5676,Please help me.  I am still waiting on a refund.,Refund_not_showing_up,request_refund
2,51,8671,How long does transfers take?,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient
3,1,8500,"I did a bank transfer to top up, but the money is not available.",top_up_failed,failed_transfer
3,2,1777,I need a new PIN number.,pin_blocked,change_pin
3,3,3893,What proof do you need for my identification?,unable_to_verify_identity,verify_my_identity
3,4,2674,What is this fee showing up in my account for?,card_payment_fee_charged,extra_charge_on_statement
3,5,6438,I need a transaction reversed from my account.,transaction_charged_twice,cancel_transfer
3,6,1498,My bag got stolen with all my cards. Can you please cancel my card and send a new one?,lost_or_stolen_card,card_swallowed
3,7,387,Does this app have the same exchange rate as third parties?,exchange_rate,exchange_via_app
3,8,1731,Is there a way to reset my PIN?,pin_blocked,change_pin
3,9,4455,What can I and can't do with the disposable cards?,disposable_card_limits,get_disposable_virtual_card
3,10,5771,Hi I'm waiting for a refund for an item I bought. I have contacted the merchant directly but had nothing back. Can you tell me whether or not you are able to refund me for the item?,Refund_not_showing_up,request_refund
3,11,9806,What do I need in regards to identification?,verify_my_identity,unable_to_verify_identity
3,12,4416,Where can I use a disposable card?,disposable_card_limits,get_disposable_virtual_card
3,13,8357,I made an ATM withdrawal over the holiday and then later realized I was charged an exorbitant fee!  I never would've made this withdrawal if I'd known I'd be charged so much.,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
3,14,2583,What is this extra fee?,card_payment_fee_charged,extra_charge_on_statement
3,15,2754,Why is my transfer taking so long to complete?,transfer_not_received_by_recipient,pending_transfer
3,16,2914,Which currencies do you handle?,supported_cards_and_currencies,fiat_currency_support
3,17,4633,what is the word?,direct_debit_payment_not_recognised,virtual_card_not_working
3,18,4800,My accounts been charged a payment for something I didn't make.,direct_debit_payment_not_recognised,card_payment_not_recognised
3,19,3637,I think my card is being used by someone else to make purchases that I didn't authorize! I checked my account and see that there have been quite a few purchases over the last two days that I have no idea where they came from. We need to freeze my card now! And I need to find a way to get my money back.,card_payment_not_recognised,compromised_card
3,20,1912,Can third party fees affect a transfer?,top_up_by_bank_transfer_charge,transfer_fee_charged
3,21,8381,can i get a virtual card online,get_disposable_virtual_card,getting_virtual_card
3,22,3195,Why won't my top up go through?,top_up_reverted,pending_top_up
3,23,9734,What services can I use to top up?,apple_pay_or_google_pay,automatic_top_up
3,24,5567,How do I make my transfer go through,declined_transfer,failed_transfer
3,25,7584,Why can I not transfer money into my account?,transfer_into_account,beneficiary_not_allowed
3,26,2802,I transferred some money but it hasn't arrived.,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
3,27,7105,I have made several unsuccessful attempts to make a transfer.  I'm getting frustrated at getting error messages and it not going through.,beneficiary_not_allowed,failed_transfer
3,28,6163,if im not using my account should i close it or just let it sit,terminate_account,compromised_card
3,29,3242,I got an cancellation error when I was topping up.,top_up_reverted,top_up_failed
3,30,7558,"When I tried to transfer funds to my friend today I was unable to do so, why?",failed_transfer,transfer_not_received_by_recipient
3,31,3815,It's requiring me to verify my identity?,why_verify_identity,unable_to_verify_identity
3,32,1394,I need to get some Euros for my holiday. Am I able to exchange some of my money?,exchange_via_app,transfer_into_account
3,33,2769,"I can't see if the transfer I did a couple days ago is in my account yet. I double checked my info before sending, too. Can you check this?",transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
3,34,5490,"I've been waiting for something that i've ordered for months now and it still hasn't arrived. I genuinely don't know what this company is doing, but put plainly, i've had enough. Please issue a refund immediately, i would not like to waste anymore of my time on these people.",request_refund,Refund_not_showing_up
3,35,5852,"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment,direct_debit_payment_not_recognised
3,36,9713,Am I able to Top Up with Apply Pay?,apple_pay_or_google_pay,receiving_money
3,37,5629,I wanted to know why my transaction didn't go through.,declined_transfer,declined_card_payment
3,38,6839,I just got refunded for my purchase over two weeks ago,reverted_card_payment?,request_refund
3,39,1705,"I enetered the wrong information, I need my account unblocked How do I do that?",pin_blocked,terminate_account
3,40,5094,The purchase I made is still pending.,pending_card_payment,pending_transfer
3,41,3539,There were a couple of payments that I have noticed on my account with my card that I didn't make. Is it possible that somebody else has my card information?,card_payment_not_recognised,compromised_card
3,42,7780,What is the top up code for?,verify_top_up,top_up_reverted
3,43,6929,"I think my pin has been compromised, what do I do?",change_pin,pin_blocked
3,44,6298,Will you please help me get my card back?,card_swallowed,lost_or_stolen_card
3,45,2774,"i've waited 2 days for a transfer to reach a retailers account, am i going to have to wait longer.",transfer_not_received_by_recipient,pending_transfer
3,46,8471,"My top-up hasn't gone through, what happened?",top_up_failed,top_up_reverted
3,47,8777,How long do I have to wait until the transferred money shows up?,balance_not_updated_after_bank_transfer,transfer_timing
3,48,1958,My top up did not complete.,pending_top_up,top_up_failed
3,49,296,What is the exchange looking like?,exchange_rate,transfer_not_received_by_recipient
3,50,5604,I am unable to transfer money. I believe it is not working because it states it was declined.,declined_transfer,failed_transfer
3,51,2753,Why is it taking so long for a transfer to complete!,transfer_not_received_by_recipient,pending_transfer
4,1,2681,Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.,card_payment_fee_charged,transfer_fee_charged
4,2,4792,There is a payment I don't recognise!,direct_debit_payment_not_recognised,card_payment_not_recognised
4,3,5643,"I'm trying to move money from my account to elsewhere, but it's giving me an error message.",declined_transfer,beneficiary_not_allowed
4,4,5304,My cards were stolen,lost_or_stolen_phone,lost_or_stolen_card
4,5,2882,What types of currencies do you accept?,supported_cards_and_currencies,fiat_currency_support
4,6,2036,The top-up is broken.,pending_top_up,top_up_failed
4,7,9034,Please provide currency exchange rates,exchange_charge,exchange_rate
4,8,2044,It appears my top-up has not gone through.,pending_top_up,top_up_failed
4,9,5247,"My card has been pending for a while, what should I do?",pending_card_payment,card_arrival
4,10,7406,Which foreign currencies can I get transferred into my account?,receiving_money,fiat_currency_support
4,11,2687,Is there an allowance on cards?,card_payment_fee_charged,disposable_card_limits
4,12,1010,Can I get my card fast tracked?,card_delivery_estimate,card_arrival
4,13,4284,I tried to get gas but my money was gone!,topping_up_by_card,declined_cash_withdrawal
4,14,2014,Did I do something incorrectly? Where is my top-up?,pending_top_up,top_up_reverted
4,15,4575,What cash stations take this card?,atm_support,card_acceptance
4,16,382,How do you do currency exchanges?,exchange_rate,exchange_via_app
4,17,3615,how do i dispute a payment I didnt make,card_payment_not_recognised,direct_debit_payment_not_recognised
4,18,9481,"Why did I get charged a fee, I thought it was free?",cash_withdrawal_charge,card_payment_fee_charged
4,19,773,"So much time has gone by, the pending status shouldn't still be there shouldn't it?",pending_cash_withdrawal,pending_card_payment
4,20,1867,Do you charge anything for topping up?,top_up_by_bank_transfer_charge,top_up_by_card_charge
4,21,5860,The payment for the card did not go through,declined_card_payment,reverted_card_payment?
4,22,7175,My transaction went through but I was charged a fee. Why?,transfer_fee_charged,card_payment_fee_charged
4,23,9515,Are there any express fees if i want my new card faster?,card_about_to_expire,getting_spare_card
4,24,6057,Could you please help me figure out why the seller has not received their money after I sent it.,pending_transfer,transfer_not_received_by_recipient
4,25,2881,use my credit to add money,supported_cards_and_currencies,topping_up_by_card
4,26,3292,"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",top_up_reverted,extra_charge_on_statement
4,27,513,I did not receive the correct amount for the exchange rate.,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal
4,28,5938,"I've tried many times to make a payment, but it's not going through.  What's wrong?",declined_card_payment,pending_card_payment
4,29,4398,Where can I find a list of descriptions the disposable cards have?,disposable_card_limits,get_disposable_virtual_card
4,30,7121,"I have tried to submit a transfer a couple of times now, and for some reason, it continues to be unsuccessful. Do you know why this may be?",beneficiary_not_allowed,failed_transfer
4,31,4460,What do I do if I detect fraudulent use on my car?,compromised_card,card_payment_fee_charged
4,32,2808,I haven't received money from a transfer?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
4,33,906,Can I change or hold different currency?,fiat_currency_support,exchange_via_app
4,34,8913,What do I do when a charge has been made that I did not make?,cash_withdrawal_not_recognised,card_payment_not_recognised
4,35,7447,Why hasn't my transfer gone through,failed_transfer,declined_transfer
4,36,3115,Is my card denied anywhere?,card_acceptance,declined_card_payment
4,37,8704,"Although I transferred some money, it has not as of yet, arrived.",balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient
4,38,4651,what is this charge on my card?,direct_debit_payment_not_recognised,card_payment_not_recognised
4,39,7481,I attemped a transfer and it didn't go through.,failed_transfer,declined_transfer
4,40,3291,It's only been a few weeks my my top-up got cancelled,top_up_reverted,pending_top_up
4,41,2486,How can I get my money that I didn't get from the ATM?,wrong_amount_of_cash_received,atm_support
4,42,651,I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,extra_charge_on_statement,card_payment_fee_charged
4,43,881,Do you allow currency exchanges?,fiat_currency_support,exchange_charge
4,44,2968,Which currencies do you work with?,supported_cards_and_currencies,fiat_currency_support
4,45,4319,my top up isnt there yet where do i find it,topping_up_by_card,pending_top_up
4,46,3245,Why was my top-up declined?,top_up_reverted,top_up_failed
4,47,2718,I made a transfer the day before yesterday within this country. It is still not showing up at all. I have double-checked and the account number is certainly right. I've actually type this multiple times. can you look into what is going on here?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
4,48,1131,How low does the balance have to be before the system updates?,automatic_top_up,balance_not_updated_after_bank_transfer
4,49,1992,Is there a problem with the top up system? My transaction hasn't gone through properly,pending_top_up,top_up_reverted
4,50,2073,I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do?,pending_top_up,top_up_failed
4,51,4324,Where did my top-up go? I can't find it in my wallet,topping_up_by_card,top_up_reverted
4,52,1931,i put money on my card and i dont see it on the balance,pending_top_up,topping_up_by_card
4,53,2747,I transferred some cash and it has not arrived yet.,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
5,1,9609,Do I need to re-apply to order a new card when my old one's about to expire?,card_about_to_expire,card_not_working
5,2,9600,Do I need to order a new card before it expires?,card_about_to_expire,card_not_working
5,3,6185,How can I delete my account?,terminate_account,card_not_working
5,4,3269,Why did my top-up not go through?,top_up_reverted,top_up_failed
5,5,1675,Where do I find PIN for my card?,pin_blocked,get_physical_card
5,6,3189,Why didn't my top up work?,top_up_reverted,top_up_failed
5,7,5268,Can you tell me what i steps i should take since my card was stolen?,lost_or_stolen_phone,lost_or_stolen_card
5,8,8597,Looks like my top-up has been cancelled,top_up_failed,top_up_reverted
5,9,8409,Where do I get a disposable card,get_disposable_virtual_card,disposable_card_limits
5,10,4753,I need to cancel a transaction on my debit card.,direct_debit_payment_not_recognised,cancel_transfer
5,11,1925,What kind of fee is there to top-up my account?,top_up_by_bank_transfer_charge,top_up_by_card_charge
5,12,7410,Am I allowed to use different currencies?,receiving_money,fiat_currency_support
5,13,869,My balance is not what I thought it was following an ATM withdrawal,pending_cash_withdrawal,wrong_amount_of_cash_received
5,14,8555,My credit card transaction was declined for a loan payment.  Can you tell me why?,top_up_failed,declined_card_payment
5,15,6617,Where's the money from my transfer from Europe?,transfer_timing,balance_not_updated_after_bank_transfer
5,16,8216,Why did my exchange rate change?,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
5,17,2716,Where is my last money transaction,transfer_not_received_by_recipient,cash_withdrawal_not_recognised
5,18,5102,I made a payment with my card and it hasn't changed. How long do you think this will take?,pending_card_payment,reverted_card_payment?
5,19,1930,How long will it take for my money to be deposited?,pending_top_up,balance_not_updated_after_cheque_or_cash_deposit
5,20,4304,My friends would like to add to my account. What is the procedure?,topping_up_by_card,age_limit
5,21,8765,How long does it take for money to reach my account?,balance_not_updated_after_bank_transfer,transfer_timing
5,22,664,I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,extra_charge_on_statement,card_payment_not_recognised
5,23,6643,How long does it take for a transfer to show up in my account?,transfer_timing,balance_not_updated_after_bank_transfer
5,24,8330,Please tell me how the exchange rate is determined. I was expecting more money for the transaction.,wrong_exchange_rate_for_cash_withdrawal,exchange_rate
5,25,6664,"I just did a transfer, but don't see the money in my account. What's up?",transfer_timing,balance_not_updated_after_bank_transfer
5,26,8557,I requested for a top-up but it has not reflected,top_up_failed,pending_top_up
5,27,673,There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement,card_payment_not_recognised
5,28,3781,Is the identity check part of bank policy?,why_verify_identity,verify_my_identity
5,29,8732,How long does it take for money to transfer?,balance_not_updated_after_bank_transfer,transfer_timing
5,30,7334,How can my boss pay me directly to the card?,receiving_money,virtual_card_not_working
5,31,7143,"I couldn't transfer money to my bank, why not?",beneficiary_not_allowed,failed_transfer
5,32,1367,Can i add a new currency to my account?,exchange_via_app,fiat_currency_support
5,33,9858,How can you assist on verifying my identity?,verify_my_identity,why_verify_identity
5,34,1306,Can I use app to reset PIN attempts?,card_not_working,change_pin
5,35,9546,What is the procedure for an expired card?,card_about_to_expire,card_not_working
5,36,5220,"There is a pending transaction on my account, what does this mean?",pending_card_payment,pending_transfer
5,37,6918,I want a new PIN please.,change_pin,get_physical_card
5,38,7209,How much do I have to pay if I want to transfer money?,transfer_fee_charged,top_up_by_bank_transfer_charge
5,39,5658,I think there has been a mistake with my transfer,declined_transfer,balance_not_updated_after_bank_transfer
5,40,8676,I am still waiting on my bank transfer,balance_not_updated_after_bank_transfer,pending_transfer
5,41,1952,My top-up funds aren't available yet.,pending_top_up,top_up_failed
5,42,8717,I'm wondering how long it takes for my money to get to me after a bank transfer.,balance_not_updated_after_bank_transfer,transfer_timing
5,43,5999,When will the transaction post to my account?,pending_transfer,balance_not_updated_after_bank_transfer
5,44,2795,How long should it take for a transfer to go through? I have been waiting a while.,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
5,45,8727,Why isn't the transferred money there?,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient
5,46,4424,What are the rules for using disposable virtual cards?,disposable_card_limits,get_disposable_virtual_card
6,1,10,Why has my new card still not come?,card_arrival,transfer_not_received_by_recipient
6,2,6522,help me find where this money came from,verify_source_of_funds,apple_pay_or_google_pay
6,3,6519,"my money, where is it coming from?",verify_source_of_funds,visa_or_mastercard
6,4,6504,what is source of my money,verify_source_of_funds,transaction_charged_twice
6,5,6464,The first payment I attempted for my card at the store earlier did not process so I had to make a second attempt. The second time it worked. It now appears I was charged twice. After looking at the app I see a pending charge. Please remove the pending amount because it is clearly not accurate and was declined.,transaction_charged_twice,declined_card_payment
6,6,6452,"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",transaction_charged_twice,transfer_not_received_by_recipient
6,7,6433,Hi. I noticed I have a duplicate charge which I have not made twice. Who should I talk to take care of this?,transaction_charged_twice,direct_debit_payment_not_recognised
6,8,6392,"My account shows I have been charged twice for the same meal. How do I get the second payment voided and returned to me? I do not eat out much and my family is living paycheck to paycheck,  mostly. I cannot afford to spend more money than necessary, as is, so I must see to it that the cost be promptly credited back onto my card.",transaction_charged_twice,transfer_not_received_by_recipient
6,9,6372,I was charged multiple times at the same location at the same time,transaction_charged_twice,declined_card_payment
6,10,6364,Why does the same transaction appear multiple times?,transaction_charged_twice,transfer_not_received_by_recipient
6,11,6362,Why was I double charged?,transaction_charged_twice,direct_debit_payment_not_recognised
6,12,6332,I have a duplicate charge,transaction_charged_twice,direct_debit_payment_not_recognised
6,13,6323,What happens when I am charged twice?,transaction_charged_twice,activate_my_card
6,14,6320,My account was charged twice for one purchase,transaction_charged_twice,transfer_not_received_by_recipient
6,15,6311,How do I query a payment on my card? It looks like I have paid for the same thing twice.,transaction_charged_twice,transfer_not_received_by_recipient
6,16,6307,There is a repeat charge for the same item,transaction_charged_twice,activate_my_card
6,17,6300,How do I get my card back after the ATM swallowed it.,card_swallowed,transfer_not_received_by_recipient
6,18,6277,Why did the ATM swallow my card?,card_swallowed,transfer_not_received_by_recipient
6,19,6274,The ATM didnt return my card!,card_swallowed,transfer_not_received_by_recipient
6,20,6269,Why did the ATM take my card and keep it?,card_swallowed,transfer_not_received_by_recipient
6,21,6264,I was getting cash and the card got stuck inside,card_swallowed,transfer_not_received_by_recipient
6,22,6248,"My card got trapped inside an ATM, what should I do?",card_swallowed,transfer_not_received_by_recipient
6,23,6228,"This is terrible, i want to delete my account",terminate_account,transfer_not_received_by_recipient
6,24,6227,I want to deactivate my account.,terminate_account,unable_to_verify_identity
6,25,6195,I want to close my account. The service you provide is unsatisfactory to me.,terminate_account,transfer_not_received_by_recipient
6,26,6138,Remove my account immediately.,terminate_account,unable_to_verify_identity
6,27,6111,I made a transfer recently but it has not changed on my dashboard.,pending_transfer,transfer_timing
6,28,6108,"Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet.",pending_transfer,transfer_timing
6,29,6099,how long will it take for my transfer to stop pending,pending_transfer,balance_not_updated_after_bank_transfer
6,30,6091,I am having to wait for my transfer to be fully processed. It seems to be taking a very long time in the pending phase. What is the normal turn around time that I can expect to see it completed?,pending_transfer,country_support
6,31,6560,where is this money from,verify_source_of_funds,card_payment_wrong_exchange_rate
6,32,6582,Can someone please explain to me where my source of funds came from?,verify_source_of_funds,transaction_charged_twice
6,33,6596,What time will a transfer from the US take?,transfer_timing,order_physical_card
6,34,6601,I am yet to receive the money in my account how long will this take?,transfer_timing,card_arrival
6,35,7212,"I thought I can make transfers for free, this is not fair. I bought something online from abroad and there was some weird additional fee that I've never seen before?",transfer_fee_charged,reverted_card_payment?
6,36,7207,Why has transferring money resulted in a charge?,transfer_fee_charged,extra_charge_on_statement
6,37,7194,Why was I charged an extra fee when doing a transfer?,transfer_fee_charged,extra_charge_on_statement
6,38,7192,"I transferred money, but I think I've been charged a fee for it?",transfer_fee_charged,visa_or_mastercard
6,39,7188,I found a transfer fee - is that correct?,transfer_fee_charged,visa_or_mastercard
6,40,7141,My account transfer was blocked.,beneficiary_not_allowed,transfer_fee_charged
